IrE,ErE,Reward,Param,Value,Q-value
0.3,0.308,-1,infectionProbability,0,-1.7816
0.198,0.35,-1,infectionProbability,0.2,-1.8218
0.31,0.334,-1,infectionProbability,1,-1.7896
0.5,0.35,-1,infectionProbability,1,-1.8493
0.5,0.35,-1,infectionProbability,0.8,-1.7987
0.234,0.162,-1,averageRoomVentilationRate,6,-1.5319
0.418,0.318,-1,averageRoomVentilationRate,8,-1.5685
0.5,0.35,-1,averageRoomVentilationRate,0,-1.5783
0.262,0.234,-1,averageRoomVentilationRate,4,-1.5858
0.292,0.234,-1,averageRoomVentilationRate,10,-1.59
0.096,0.106,0.02,averageRoomVentilationRate,10,-1.5509
0.29,0.31,-1,averageRoomVentilationRate,2,-1.5938
0.464,0.34,-1,averageRoomVentilationRate,6,-1.6013
0.094,0.094,0.02,averageRoomVentilationRate,10,-1.5179
0.362,0.35,-1,averageRoomVentilationRate,10,-1.5876
0.27,0.224,-1,averageRoomVentilationRate,10,-1.6543
0.1,0.116,-1,averageRoomVentilationRate,8,-1.6371
0.422,0.35,-1,averageRoomVentilationRate,0,-1.6468
0.496,0.35,-1,averageRoomVentilationRate,4,-1.6541
0.464,0.35,-1,averageRoomVentilationRate,2,-1.662
0.426,0.338,-1,averageRoomVentilationRate,6,-1.6693
0.344,0.298,-1,averageRoomVentilationRate,8,-1.7044
0.5,0.35,-1,averageRoomVentilationRate,0,-1.7138
0.452,0.35,-1,averageRoomVentilationRate,2,-1.7281
0.49,0.35,-1,averageRoomVentilationRate,4,-1.721
0.148,0.214,-1,infectionProbability,0.4,-1.8099
0.472,0.35,-1,infectionProbability,0.6,-1.8102
0.3,0.11,-1,infectionProbability,0,-1.8459
0.212,0.236,-1,infectionProbability,0.8,-1.8627
0.416,0.35,-1,infectionProbability,0.4,-1.8737
0.442,0.346,-1,infectionProbability,0.6,-1.874
0.192,0.222,-1,infectionProbability,0.8,-1.9222
0.234,0.334,-1,infectionProbability,0.2,-1.8853
0.3,0.112,-1,infectionProbability,0,-1.909
0.252,0.25,-1,infectionProbability,1,-1.9123
0.412,0.35,-1,infectionProbability,0.4,-1.9362
0.424,0.348,-1,infectionProbability,0.6,-1.9365
0.182,0.216,-1,infectionProbability,0.6,-1.9937
0.074,0.326,-1,infectionProbability,0.2,-1.9476
0.3,0.102,-1,infectionProbability,0,-1.9708
0.3,0.09,-1,infectionProbability,0,-2.0267
0.5,0.35,-1,infectionProbability,1,-1.9741
0.44,0.346,-1,infectionProbability,0.8,-1.9838
0.266,0.192,-1,infectionProbability,0.4,-1.9975
0.084,0.322,-1,infectionProbability,0.2,-2.0087
0.228,0.1,-1,averageRoomVentilationRate,10,-1.7212
0.314,0.238,-1,averageRoomVentilationRate,6,-1.7359
0.176,0.064,-1,averageRoomVentilationRate,8,-1.7703
0.5,0.35,-1,averageRoomVentilationRate,0,-1.7795
0.344,0.27,-1,averageRoomVentilationRate,2,-1.793
0.062,0.31,-1,averageRoomVentilationRate,4,-1.7866
0.23,0.108,-1,averageRoomVentilationRate,10,-1.7868
0.342,0.292,-1,averageRoomVentilationRate,6,-1.8012
0.168,0.06,-1,averageRoomVentilationRate,8,-1.8349
0.5,0.35,-1,averageRoomVentilationRate,0,-1.8439
0.368,0.294,-1,averageRoomVentilationRate,4,-1.8508
0.206,0.062,-1,averageRoomVentilationRate,10,-1.851
0.126,0.34,-1,averageRoomVentilationRate,2,-1.8571
0.354,0.298,-1,averageRoomVentilationRate,6,-1.8651
0.18,0.048,-1,averageRoomVentilationRate,8,-1.8982
0.5,0.35,-1,averageRoomVentilationRate,0,-1.9071
0.342,0.318,-1,averageRoomVentilationRate,4,-1.9138
0.198,0.042,-1,averageRoomVentilationRate,10,-1.914
0.13,0.312,-1,averageRoomVentilationRate,2,-1.92
0.356,0.27,-1,averageRoomVentilationRate,6,-1.9278
