IrE,ErE,Reward,Param,Value,Q-value
0.082,0.328,0,averageRoomVentilationRate,3,-0.4143
0.258,0.196,-0.208,averageRoomVentilationRate,3,-0.4226
0.182,0.346,-0.132,averageRoomVentilationRate,3,-0.4232
0.07,0.318,0,averageRoomVentilationRate,3,-0.4105
0.28,0.206,-0.23,averageRoomVentilationRate,3,-0.4212
0.196,0.348,-0.146,averageRoomVentilationRate,3,-0.4231
0.078,0.32,0,infectionProbability,0.2,-0.4005
0.31,0.206,-0.26,infectionProbability,0.2,-0.4145
0.176,0.346,-0.126,infectionProbability,0.2,-0.4146
0.372,0.35,-0.322,infectionProbability,0.6,-0.4455
0.356,0.22,-0.306,infectionProbability,0.2,-0.4328
0.3,0.198,-0.25,infectionProbability,0,-0.4417
0.072,0.314,0,infectionProbability,0.2,-0.4198
0.364,0.242,-0.314,infectionProbability,0.2,-0.4386
0.5,0.35,-0.45,infectionProbability,0.8,-0.4692
0.106,0.292,0,infectionProbability,0.2,-0.4255
0.378,0.31,-0.328,infectionProbability,0.2,-0.4455
0.3,0.192,-0.25,infectionProbability,0,-0.4535
0.108,0.29,0,infectionProbability,0.2,-0.4321
0.362,0.342,-0.312,infectionProbability,0.2,-0.4504
0.492,0.35,-0.442,infectionProbability,0.6,-0.4764
0.156,0.306,-0.106,infectionProbability,0.4,-0.4473
0.452,0.35,-0.402,infectionProbability,0.4,-0.474
0.5,0.35,-0.45,infectionProbability,0.8,-0.4988
0.16,0.232,-0.11,infectionProbability,0.2,-0.4479
0.358,0.35,-0.308,infectionProbability,0.2,-0.4652
0.102,0.342,0,averageRoomVentilationRate,3,-0.4104
0.192,0.2,-0.142,averageRoomVentilationRate,3,-0.4123
0.356,0.35,-0.306,averageRoomVentilationRate,3,-0.4305
0.092,0.338,0,averageRoomVentilationRate,3,-0.4176
0.21,0.192,-0.16,averageRoomVentilationRate,3,-0.4211
0.322,0.35,-0.272,averageRoomVentilationRate,3,-0.4357
0.078,0.334,0,averageRoomVentilationRate,3,-0.4226
0.232,0.212,-0.182,averageRoomVentilationRate,3,-0.4281
0.254,0.35,-0.204,averageRoomVentilationRate,3,-0.4357
0.054,0.33,0,averageRoomVentilationRate,3,-0.4226
0.246,0.194,-0.196,averageRoomVentilationRate,3,-0.4295
0.256,0.35,-0.206,averageRoomVentilationRate,3,-0.4372
0.254,0.35,-0.204,averageRoomVentilationRate,1.8,-0.4439
0.27,0.182,-0.22,averageRoomVentilationRate,3,-0.4461
0.444,0.35,-0.394,averageRoomVentilationRate,1.8,-0.47
0.104,0.344,0,averageRoomVentilationRate,2.4,-0.4315
0.29,0.218,-0.24,averageRoomVentilationRate,2.4,-0.4426
0.316,0.35,-0.266,averageRoomVentilationRate,2.4,-0.4559
0.076,0.316,0,averageRoomVentilationRate,3,-0.4327
0.342,0.214,-0.292,averageRoomVentilationRate,3,-0.449
0.3,0.2,-0.25,infectionProbability,0,-0.4649
0.458,0.35,-0.408,infectionProbability,1,-0.4868
0.362,0.19,-0.312,infectionProbability,0,-0.4821
0.156,0.346,-0.106,infectionProbability,0.2,-0.4619
0.092,0.306,0,infectionProbability,0.2,-0.448
0.358,0.284,-0.308,infectionProbability,0.2,-0.4654
0.116,0.346,0,infectionProbability,0.2,-0.4514
0.104,0.282,0,infectionProbability,0.2,-0.4379
0.352,0.32,-0.302,infectionProbability,0.2,-0.4549
0.118,0.342,0,infectionProbability,0.2,-0.4413
0.138,0.268,0,infectionProbability,0.2,-0.428
0.356,0.346,-0.306,infectionProbability,0.2,-0.4458
0.112,0.342,0,infectionProbability,0.2,-0.4324
0.148,0.236,0,infectionProbability,0.2,-0.4195
0.37,0.35,-0.32,infectionProbability,0.2,-0.4389
0.11,0.34,0,infectionProbability,0.2,-0.4257
0.196,0.208,-0.146,infectionProbability,0.2,-0.4275
0.362,0.348,-0.312,infectionProbability,0.2,-0.4459
0.076,0.33,0,infectionProbability,0.2,-0.4325
0.208,0.212,-0.158,infectionProbability,0.2,-0.4354
0.326,0.346,-0.276,averageRoomVentilationRate,3,-0.4631
0.5,0.35,-0.45,averageRoomVentilationRate,0,-0.4815
0.192,0.344,-0.142,averageRoomVentilationRate,1.2,-0.4532
0.488,0.35,-0.438,averageRoomVentilationRate,1.2,-0.4834
0.132,0.346,0,averageRoomVentilationRate,2.4,-0.4422
0.236,0.216,-0.186,averageRoomVentilationRate,2.4,-0.4475
0.356,0.35,-0.306,averageRoomVentilationRate,2.4,-0.4647
0.056,0.328,0,averageRoomVentilationRate,3,-0.4492
0.262,0.214,-0.212,averageRoomVentilationRate,3,-0.4569
0.218,0.346,-0.168,averageRoomVentilationRate,3,-0.46
0.078,0.322,0,averageRoomVentilationRate,3,-0.4462
0.284,0.21,-0.234,averageRoomVentilationRate,3,-0.4562
0.206,0.346,-0.156,averageRoomVentilationRate,3,-0.4581
0.076,0.326,0,averageRoomVentilationRate,3,-0.4444
0.322,0.202,-0.272,averageRoomVentilationRate,3,-0.4583
0.196,0.35,-0.146,averageRoomVentilationRate,3,-0.4591
0.068,0.314,0,averageRoomVentilationRate,3,-0.4453
0.338,0.21,-0.288,averageRoomVentilationRate,3,-0.4608
0.412,0.35,-0.362,averageRoomVentilationRate,1.8,-0.4914
0.09,0.3,0,averageRoomVentilationRate,3,-0.447
0.354,0.244,-0.304,infectionProbability,0.2,-0.4527
0.15,0.346,-0.1,infectionProbability,0.2,-0.4491
0.058,0.3,0,infectionProbability,0.2,-0.4356
0.372,0.344,-0.322,infectionProbability,0.2,-0.4548
0.144,0.342,0,infectionProbability,0.2,-0.4411
0.096,0.286,0,infectionProbability,0.2,-0.4279
0.356,0.338,-0.306,infectionProbability,0.2,-0.4457
